eventdate,ear,load,ena,termica
2016-08-13,98050.85714285714,34592.39319047286,18492.85714285714,4673.276964195714
2016-08-20,95601.71428571429,33772.406559518575,23931.714285714286,3779.282464202857
2016-08-27,93852.0,34818.154309519996,22012.14285714286,4004.2775594471423
2016-09-01,92433.14285714286,33866.295696424284,20886.285714285714,4751.172654674286
2016-09-03,91936.85714285714,33669.89548213857,20900.14285714286,5334.031868949999
2016-09-10,89653.28571428571,35663.99482142429,18850.85714285714,5910.6200475185715
2016-09-17,86450.0,35143.86019047286,16167.142857142857,5087.237249917142
2016-09-24,83250.85714285714,34275.18464285429,14988.142857142857,4539.1308808700005
2016-10-01,80023.0,33285.51841666429,15097.142857142857,4723.927243957142
2016-10-08,77260.0,33929.38422023428,17115.85714285714,5000.99677967
2016-10-15,74328.28571428571,38131.757955999994,20492.285714285714,5097.1638386528575
2016-10-22,71918.42857142857,36571.99176190142,22004.571428571428,4864.167523720001
2016-10-29,70481.57142857143,34301.529101187145,23156.285714285714,5261.456422524286
2016-11-01,69786.71428571429,34530.81304761714,21936.14285714286,5158.526809429999
2016-11-05,68766.28571428571,35752.20181547285,21288.285714285714,5507.99973204
2016-11-12,68396.42857142857,33262.829607137144,27202.285714285714,5995.973071338572
2016-11-19,69213.85714285714,33809.64958332999,31369.14285714286,4985.021779675714
2016-11-26,68260.85714285714,35654.726428568574,29213.714285714286,4822.346113005714
2016-12-03,67259.14285714286,35893.85264285428,30581.714285714286,3314.669488014286
2016-12-10,67098.85714285714,35900.093136899995,37486.42857142857,3723.556071355714
2016-12-17,69113.57142857143,35131.98815475857,40621.142857142855,2903.7654761228578
2016-12-24,69155.42857142857,36453.268928569996,35020.28571428572,3247.9455773299997
2016-12-31,67846.71428571429,38143.38362499571,31990.14285714286,3622.1860297142857
2017-01-07,66813.57142857143,40404.47385714,34577.42857142857,2897.39096424
2017-01-14,68533.14285714286,38472.59243089143,42961.142857142855,2793.2891391857142
2017-01-21,72727.42857142857,38465.505279758574,52745.57142857143,3087.3884344785715
2017-01-28,75941.28571428571,39579.36643452,53574.42857142857,2724.1915475728574
2017-02-04,78732.85714285714,39536.10522023571,52252.28571428572,2310.5862559057146
2017-02-11,81411.0,40799.101107140006,51413.0,2405.377892805714
2017-02-18,81834.71428571429,42088.43251190286,41208.42857142857,3693.8985237471434
2017-02-25,82004.14285714286,37953.97697618858,37981.857142857145,4710.787678508571
2017-03-04,83629.42857142857,40866.24026785429,42862.142857142855,4263.675440407143
2017-03-11,84113.42857142857,41063.182755948576,39482.0,4472.351702310001
2017-03-18,84041.14285714286,37517.40092856715,39178.0,4768.747345164285
2017-03-25,84354.71428571429,37505.207958328574,38310.71428571428,4292.562505877143
2017-04-01,84355.42857142857,37290.23679761571,36190.857142857145,5652.3948927685715
2017-04-08,84401.71428571429,36867.14784523571,35449.57142857143,5719.267452285714
2017-04-15,84408.57142857143,35395.46297618714,34460.142857142855,5626.699755858572
2017-04-22,84460.57142857143,35290.32799999715,33875.28571428572,5775.407065385714
2017-04-29,85093.28571428571,33069.436488089996,34021.57142857143,6126.956255858573
2017-05-06,85168.71428571429,34546.31594047286,31787.714285714286,6279.005059415714
2017-05-13,84618.14285714286,34775.801648211425,29552.714285714286,6159.655820731428
2017-05-20,86376.14285714286,34701.31699404428,42342.0,4884.956666587143
2017-05-27,87985.14285714286,33954.08085714142,37990.42857142857,4504.228112997143
2017-06-03,87823.28571428571,35100.47394642713,29290.285714285714,3425.6436427714293
2017-06-10,87438.42857142857,33290.69108928285,30413.428571428572,3435.9841665957147
2017-06-17,87026.28571428571,33486.33482142571,28541.14285714286,3935.5232677742856
2017-06-24,86276.42857142857,33209.51320237857,24884.428571428572,4177.145535628571
2017-07-01,85118.14285714286,32500.019738091425,22593.571428571428,5450.174868952857
2017-07-08,83687.28571428571,32782.491738091434,20727.428571428572,5834.9622915671425
2017-07-15,82097.57142857143,32652.453011900005,18947.0,5808.281243957143
2017-07-22,79714.57142857143,33002.79763094857,17585.14285714286,5624.611434427143
2017-07-29,77080.57142857143,32893.47513690286,16436.571428571428,7034.146297511428
2017-08-05,74227.14285714286,33514.81649404428,15497.857142857143,6943.079422518572
2017-08-12,71376.0,34039.515809521436,15708.857142857143,6946.3741963157145
2017-08-19,69265.57142857143,33560.100904758576,19069.428571428572,7010.662077275714
2017-08-26,67101.14285714286,34071.49717261429,17243.714285714286,7297.799851075715
2017-09-02,63962.28571428572,33511.46267856714,13856.0,7547.475220121428
2017-09-09,60508.42857142857,36037.86963511714,12275.57142857143,7495.664980245715
2017-09-16,56376.142857142855,36639.164458924286,11663.0,7548.572452859999
2017-09-23,51915.42857142857,36252.257208330004,11070.285714285714,7364.327267745714
2017-09-30,47630.71428571428,35257.79898213857,13863.142857142857,7116.3884403514285
2017-10-07,44233.28571428572,36982.248279759995,16172.42857142857,7346.8933451257135
2017-10-14,40902.42857142857,37459.67450698429,13417.714285714286,7463.7300151399995
2017-10-21,37682.0,36726.10018452,13310.714285714286,7016.045737968571
2017-10-28,36003.57142857143,35231.038261898575,25771.714285714286,6920.6654760857145
2017-11-04,36401.42857142857,35733.660410711425,31173.0,6627.314886782857
2017-11-11,36664.0,35773.30320237857,28975.85714285714,6981.297886794287
2017-11-18,36621.857142857145,35785.73924404286,28944.714285714286,6768.140684417143
2017-11-25,37748.0,36621.61079761714,36435.28571428572,4705.918821332857
2017-12-02,39701.0,36536.85075594857,44281.28571428572,4410.054273724286
2017-12-09,40964.57142857143,37303.42033333143,45756.42857142857,5088.2437142
2017-12-16,41985.42857142857,38392.05610326999,40790.57142857143,5454.520499904285
2017-12-23,43588.857142857145,35874.703017854285,42869.857142857145,5270.08335706
2017-12-30,47393.857142857145,35315.06515476001,52347.57142857143,3456.9675237500005
2018-01-06,54233.142857142855,37228.58968452144,65011.28571428572,3379.3250058928575
2018-01-13,59774.857142857145,40034.82309523285,59384.42857142857,3205.3095297057143
2018-01-20,61477.28571428572,41921.83280356858,50536.0,2706.2249582828567
2018-01-27,63199.71428571428,39052.162916662855,48004.28571428572,2615.6934642428573
2018-02-03,66916.0,38253.297482141425,55859.857142857145,2677.4051666071427
2018-02-10,70005.85714285714,37777.301922614286,50325.857142857145,4087.531940424285
2018-02-17,71881.42857142857,39529.58525595,48305.71428571428,3785.5379582700007
2018-02-24,74651.85714285714,39243.86952975999,51881.71428571428,3427.152898745714
2018-03-03,77390.85714285714,40467.079142854294,53645.142857142855,3434.2086189942856
2018-03-10,80131.14285714286,40773.49663094857,55739.142857142855,3757.154493977142
2018-03-17,82149.85714285714,40437.15958928143,50671.142857142855,4235.395029691429
2018-03-24,84637.28571428571,38604.614041662855,49813.71428571428,4258.3710594442855
2018-03-31,86729.42857142857,38392.76494642572,48311.0,2181.4014939785716
2018-04-07,88556.85714285714,37655.18314880571,45544.0,3393.06026183
2018-04-14,89949.71428571429,35512.51178571143,40579.0,4088.5397856285717
2018-04-21,90273.71428571429,36020.68098809143,35053.28571428572,3499.995666592857
2018-04-28,89371.42857142857,35612.78210118857,30691.428571428572,4158.803077305715
2018-05-05,88429.42857142857,35921.05483928428,29011.285714285714,4496.511607060001
2018-05-12,87392.28571428571,35784.478142854285,27896.0,4285.040958241429
2018-05-19,87017.14285714286,32850.27232142429,28270.714285714286,4337.645208242857
2018-05-26,86780.85714285714,30383.54321428143,25131.428571428572,4247.195452298571
2018-06-02,85872.14285714286,33021.37299404286,25433.0,5278.146803487144
2018-06-09,84915.28571428571,34655.930470234285,24712.714285714286,5351.404095142857
2018-06-16,83744.14285714286,33687.01280356858,23616.85714285714,5537.239946342857
2018-06-23,82115.71428571429,34552.39150594857,21299.85714285714,5534.098928472858
2018-06-30,79934.71428571429,34197.081321425714,19925.14285714286,5879.276708245715
2018-07-07,77665.57142857143,33199.553202377145,18277.428571428572,5898.636428478571
2018-07-14,75221.42857142857,34223.697071424285,16925.85714285714,5784.073827295715
2018-07-21,72623.85714285714,34092.492017855715,15765.857142857143,5111.798464194285
2018-07-28,69789.42857142857,34513.52892261571,15485.857142857143,4955.47616657
2018-08-04,67594.85714285714,34440.56072618714,17873.0,4742.932345152857
2018-08-11,65064.0,33921.73408332857,17813.85714285714,4881.196333258571
2018-08-18,61848.28571428572,34709.955160711426,15957.57142857143,4871.339583248571
2018-08-25,58394.142857142855,34473.29121428286,15515.714285714286,5199.5612379985705
2018-09-01,55492.57142857143,34096.712636899996,14917.714285714286,6053.1083213328575
2018-09-08,52935.57142857143,34944.85077975857,13432.285714285714,6365.643928462858
2018-09-15,50622.28571428572,35798.851839282856,15567.285714285714,6056.578327281429
2018-09-22,48605.57142857143,37643.169874995714,19262.428571428572,6165.886130852857
2018-09-29,45736.57142857143,37617.436690474286,17992.85714285714,5210.500708245714
2018-10-06,43646.0,36213.76694642858,21066.85714285714,5137.605208241429
2018-10-13,42780.28571428572,37344.80965475857,26243.14285714286,4654.3910534828565
2018-10-20,42084.857142857145,36214.69717261572,29345.571428571428,4111.317291578572
2018-10-27,41332.42857142857,35958.59298809143,31702.85714285714,3353.9796308742857
2018-11-03,40694.857142857145,35895.739709624286,30982.285714285714,3073.2068588600005
2018-11-10,41671.0,37280.01308928143,37637.57142857143,2581.6665772985716
2018-11-17,43068.57142857143,36135.83310713857,39026.857142857145,2427.7980296914284
2018-11-24,47235.857142857145,37604.98432142572,51538.142857142855,2423.8848451614285
2018-12-01,51170.142857142855,37858.60254761429,54795.42857142857,2508.6927380328566
2018-12-08,53721.71428571428,38566.04127380714,47377.57142857143,2564.2540416014285
2018-12-15,53389.142857142855,42306.39845833143,37126.857142857145,2247.9569285228567
2018-12-22,53795.28571428572,35736.03872023428,34614.28571428572,2504.344535674286
2018-12-29,56124.142857142855,36142.67303571143,42686.57142857143,2758.9019761471427
2019-01-05,57952.28571428572,41405.64267856857,44873.0,2117.3915832914286
2019-01-12,57630.142857142855,43085.86910713714,37619.28571428572,2847.0551904257145
2019-01-19,55953.857142857145,43926.95923213857,31702.14285714286,2790.8343511342855
2019-01-26,54920.0,43231.49928571,31646.85714285714,3829.215279694286
2019-02-02,53632.42857142857,41038.12760118571,32518.714285714286,4581.503059465715
2019-02-09,53560.71428571428,40693.53075595001,36795.57142857143,4977.791904704286
2019-02-16,55624.42857142857,39387.31437499715,45698.142857142855,5396.1936011214275
2019-02-23,58850.28571428572,40650.337452378575,51337.28571428572,4203.974178495714
2019-03-02,64199.42857142857,37687.90425594857,58662.857142857145,4218.879422551429
2019-03-09,69712.85714285714,40927.51127976,61302.42857142857,3529.7813808928577
2019-03-16,74521.14285714286,39571.525142854276,59688.57142857143,2668.1154404228573
2019-03-23,79162.28571428571,38564.40652975714,55948.857142857145,3329.4746546871424
2019-03-30,81380.71428571429,38862.371857139995,46512.142857142855,3454.6141904028577
2019-04-06,83150.71428571429,38262.785440472864,46061.0,2972.190654685714
2019-04-13,87031.14285714286,36756.52262499857,51342.57142857143,3071.353678491428
2019-04-20,90320.28571428571,37353.58203571143,48161.0,3221.748660638571
2019-04-27,91753.14285714286,36607.34795237857,41254.42857142857,3321.0988630071433
2019-05-04,92947.28571428571,36955.08219642571,38141.71428571428,3385.7453927771426
2019-05-11,93822.85714285714,36084.81060118714,37215.57142857143,3125.9003451585713
2019-05-18,95044.28571428571,34595.20852975857,35403.0,3178.016779681428
2019-05-25,95690.71428571429,35221.25878571,34019.71428571428,3527.5140475371436
2019-06-01,96638.57142857143,34462.78571428286,34045.0,2788.1137499285715
2019-06-08,97457.42857142857,34295.021363092856,31334.0,2939.811488011429
2019-06-15,97226.14285714286,34007.46796428143,27419.428571428572,3572.246803494286
2019-06-22,96716.57142857143,34750.75605952143,24845.571428571428,3751.520499907143
2019-06-29,95733.57142857143,35246.01926190285,23022.85714285714,3606.14538087
2019-07-06,95433.71428571429,31881.35264880714,24271.714285714286,4144.700946345714
2019-07-13,94435.42857142857,33234.34451785429,22320.85714285714,4202.12469635
2019-07-20,93162.85714285714,33632.301511900005,19382.14285714286,4358.376446347143
2019-07-27,91541.71428571429,34160.826803568576,17899.714285714286,5241.113023714286
2019-08-03,89788.71428571429,33457.87086904571,17481.85714285714,5473.663892765714
2019-08-10,87557.28571428571,34456.696517852855,16841.714285714286,5518.172904664285
2019-08-17,84679.85714285714,34205.23276190286,15484.57142857143,6001.54897610143
2019-08-24,81869.14285714286,34069.63259523571,14551.57142857143,5814.038934427142
2019-08-31,78609.90099999998,35486.87509523286,14532.577857142856,5050.345779667143
2019-09-07,75236.92614285715,37393.010749998575,14083.74057142857,5730.478470141429
2019-09-14,70722.48857142858,39195.18485713857,12443.742714285714,5796.101309425714
2019-09-21,66063.40271428572,35975.711351187136,11621.728428571427,5369.882601098571
2019-09-28,62300.275571428574,36363.64453571143,13013.170857142857,5568.286857047143
2019-10-05,58537.299857142854,36637.84169047286,12819.343285714287,6096.797922525714
2019-10-12,54569.14014285715,38463.93436904286,13763.033857142857,5949.02902371
2019-10-26,46331.49985714286,39326.54046428143,13555.589285714286,5871.707196331428
2019-11-02,43470.09285714286,38921.59278571,14210.829428571431,5683.427547525715
2019-11-09,41282.422000000006,36996.55183928286,16351.137714285713,5732.096410612858
2019-11-16,40219.47871428572,35706.88061904571,21454.120571428568,6067.416249898571
2019-11-23,39011.839428571424,36526.73927976286,22979.638142857144,5228.881077321429
2019-11-30,38268.06642857143,36820.05343452571,30409.46728571429,4242.417297554286
